game_id,season,season_type,week,kickoff_utc,kickoff_epoch,home_team_id,home_team_name,home_team_school,away_team_id,away_team_name,away_team_school,home_points,away_points,home_margin,home_division,away_division,home_conference,away_conference,cross_division,neutral_site,venue_name,venue_city,venue_state,competition_type,conference_competition,overtime,source_authority,source_authority_tier,source_url,source_raw_sha256,tier_1_corroboration
ESPN-2020-401236054,2020,REGULAR_SEASON,2,2020-09-12T23:00:00Z,1599951600,201,Oklahoma Sooners,Oklahoma,2623,Missouri State Bears,Missouri State,48,0,48,FBS,FCS,Big 12 Conference,Missouri Valley Football Conference,True,False,"Memorial Stadium (Norman, OK)",Norman,OK,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401240039,2020,REGULAR_SEASON,2,2020-09-12T23:00:00Z,1599951600,58,South Florida Bulls,South Florida,2643,The Citadel Bulldogs,The Citadel,27,6,21,FBS,FCS,American Conference,Southern Conference,True,False,Raymond James Stadium,Tampa,FL,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401234562,2020,REGULAR_SEASON,2,2020-09-12T23:30:00Z,1599953400,154,Wake Forest Demon Deacons,Wake Forest,228,Clemson Tigers,Clemson,13,37,-24,FBS,FBS,Atlantic Coast Conference,Atlantic Coast Conference,False,False,Allegacy Federal Credit Union Stadium,Winston-Salem,NC,REGULAR_SEASON,True,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401239973,2020,REGULAR_SEASON,2,2020-09-12T23:30:00Z,1599953400,6,South Alabama Jaguars,South Alabama,2655,Tulane Green Wave,Tulane,24,27,-3,FBS,FBS,Sun Belt Conference,American Conference,False,False,Hancock Whitney Stadium,Mobile,AL,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401234564,2020,REGULAR_SEASON,2,2020-09-13T00:00:00Z,1599955200,97,Louisville Cardinals,Louisville,98,Western Kentucky Hilltoppers,Western Kentucky,35,21,14,FBS,FBS,Atlantic Coast Conference,Conference USA,False,False,L&N Federal Credit Union Stadium,Louisville,KY,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236039,2020,REGULAR_SEASON,2,2020-09-13T00:00:00Z,1599955200,2641,Texas Tech Red Raiders,Texas Tech,2277,Houston Baptist Huskies,Houston Baptist,35,33,2,FBS,FCS,Big 12 Conference,Southland Conference,True,False,Galaxy Stadium,Lubbock,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236222,2020,REGULAR_SEASON,2,2020-09-13T00:00:00Z,1599955200,251,Texas Longhorns,Texas,2638,UTEP Miners,UTEP,59,3,56,FBS,FBS,Big 12 Conference,Conference USA,False,False,DKR-Texas Memorial Stadium,Austin,TX,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401236658,2020,REGULAR_SEASON,2,2020-09-13T02:00:00Z,1599962400,2305,Kansas Jayhawks,Kansas,324,Coastal Carolina Chanticleers,Coastal Carolina,23,38,-15,FBS,FBS,Big 12 Conference,Sun Belt Conference,False,False,David Booth Kansas Memorial Stadium,Lawrence,KS,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200912&groups=80&limit=400,f48e9bce87e8f857721cf97206f4fed14ac06155900d231a08a778adead59f4d,CORROBORATED_BY_TIER_1
ESPN-2020-401240126,2020,REGULAR_SEASON,3,2020-09-18T23:30:00Z,1600471800,324,Coastal Carolina Chanticleers,Coastal Carolina,2097,Campbell Fighting Camels,Campbell,43,21,22,FBS,FCS,Sun Belt Conference,Big South Conference,True,False,Brooks Stadium (SC),Conway,SC,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200918&groups=80&limit=400,1519105c0e078659eadfd1b98646882041fb6b230c880ffc9b98b658c86275b8,CORROBORATED_BY_TIER_1
ESPN-2020-401207124,2020,REGULAR_SEASON,3,2020-09-19T16:00:00Z,1600531200,98,Western Kentucky Hilltoppers,Western Kentucky,2335,Liberty Flames,Liberty,24,30,-6,FBS,FBS,Conference USA,FBS Independents,False,False,Houchens Industries-L.T. Smith Stadium,Bowling Green,KY,REGULAR_SEASON,False,False,ESPN_PUBLIC_SCOREBOARD_API,TIER_2_MEDIA_AGGREGATOR,https://site.web.api.espn.com/apis/site/v2/sports/football/college-football/scoreboard?dates=20200919&groups=80&limit=400,fc2967ebd8b24cc65ab0b906d14816352af16bab6bf40db483a93d841810a936,CORROBORATED_BY_TIER_1
